StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID34,Q4_First Click,Q4_Last Click,Q4_Page Submit,Q4_Click Count,Q27_First Click,Q27_Last Click,Q27_Page Submit,Q27_Click Count,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q29_First Click,Q29_Last Click,Q29_Page Submit,Q29_Click Count,Q31_First Click,Q31_Last Click,Q31_Page Submit,Q31_Click Count,Q28_First Click,Q28_Last Click,Q28_Page Submit,Q28_Click Count,Q24_First Click,Q24_Last Click,SurveyTime,Q24_Click Count,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Q25_First Click,Q25_Last Click,Q25_Page Submit,CovariateTime,Age,Education,Gender,LivingAreaAffected,ClimateChangeAwareness,PreTreatment,Income,PoliticalView,Community,AlwaysTrue,mTurkCode,Group,RejectedOutcomeQuestions,RejectedCovariateQuestions
11/14/19 12:57,11/14/19 12:58,IP Address,122.182.223.149,100,26,TRUE,11/14/19 12:58,R_1pVFv3WBu6zvZO5,,,,,12.97189331,77.59368896,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/19 12:58,11/14/19 13:09,IP Address,148.87.23.4,100,608,TRUE,11/14/19 13:09,R_3PgAel7L7TaufgE,,,,,37.54969788,-121.9620972,anonymous,EN,Yes,,,,,,,,,,,,,,,,,0,0,173.513,0,0,0,269.822,0,15.315,76.388,78.251,7,Strongly agree,Strongly Agree,Strongly agree,Somewhat Disagree,Strongly agree,Strongly disagree,Somewhat agree,3.447,70.236,72.304,9,45-54 years,4 year degree,Male,Yes,No,Strongly agree,"More than $150,000",Neither Conservative nor Liberal,Urban,1,6.57E+11,Placebo,,
11/14/19 13:00,11/14/19 13:09,IP Address,148.87.23.8,100,523,TRUE,11/14/19 13:09,R_2DZyQc8t0nA94m5,,,,,37.54969788,-121.9620972,anonymous,EN,Yes,,,,,,,,,,,,,,,,,7.948,34.688,131.17,3,12.395,220.322,255.625,4,3.235,49.026,50.455,8,Strongly agree,Strongly Agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly disagree,Strongly agree,2.235,42.814,44,9,45-54 years,Professional degree,Male,Yes,Yes,Neither agree nor disagree,"More than $150,000",Very Liberal,Suburban,1,4.32E+11,Placebo,,
11/14/19 12:58,11/14/19 13:11,IP Address,148.87.23.10,100,764,TRUE,11/14/19 13:11,R_vTxJskRsCdMgIhP,,,,,37.5625,-122.0003967,anonymous,EN,Yes,0,0,272.432,0,0,0,285.979,0,,,,,,,,,,,,,,,,,73.289,125.296,127.222,7,Neither agree nor disagree,Strongly Agree,Strongly agree,Strongly Agree,Strongly agree,Strongly disagree,Strongly agree,2.579,49.888,50.995,10,45-54 years,Professional degree,Female,Yes,No,Strongly agree,"More than $150,000",Slightly Conservative,Suburban,1,9.96E+11,Treatment,,
11/14/19 13:00,11/14/19 13:11,IP Address,76.93.146.33,100,715,TRUE,11/14/19 13:12,R_1l5Kbk9Bix0ZJBt,,,,,33.09240723,-117.2624054,anonymous,EN,Yes,0,0,235.002,0,0,0,276.173,0,,,,,,,,,,,,,,,,,3.19,38.91,40.411,8,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly agree,Strongly disagree,Strongly agree,2.537,39.082,40.751,9,55 years or older,4 year degree,Male,No,Yes,Strongly agree,"More than $150,000",Very Liberal,Suburban,1,5.76E+11,Treatment,,
11/14/19 13:02,11/14/19 13:12,IP Address,189.158.248.168,100,549,TRUE,11/14/19 13:12,R_268WRT2urrF5ITe,,,,,25.76150513,-100.2814026,anonymous,EN,Yes,,,,,,,,,,,,,,,,,0,0,135.652,0,0,0,260.974,0,7.365,64.862,66.686,7,Strongly agree,Somewhat Agree,Strongly agree,Somewhat Disagree,Somewhat agree,Strongly disagree,Strongly agree,2.579,54.514,55.841,10,45-54 years,Professional degree,Male,Yes,Yes,Somewhat agree,"$75,000 - $99,000",Slightly Conservative,Suburban,1,1.65E+11,Placebo,,
11/14/19 12:58,11/14/19 13:12,IP Address,209.17.40.40,100,826,TRUE,11/14/19 13:12,R_22rFzdUCHBEnU9s,,,,,37.75100708,-97.8219986,anonymous,EN,Yes,15.906,15.906,243.061,1,6.441,265.776,269.9,3,,,,,,,,,,,,,,,,,12.457,156.08,157.717,8,Somewhat agree,Somewhat Agree,Somewhat agree,Somewhat Agree,Somewhat agree,Somewhat disagree,Somewhat agree,5.527,120.05,124.897,9,55 years or older,4 year degree,Female,Yes,Yes,Neither agree nor disagree,"$100,000 - $149,000",Slightly Conservative,Suburban,1,7.55E+11,Treatment,,
11/14/19 13:04,11/14/19 13:14,IP Address,148.87.23.7,100,617,TRUE,11/14/19 13:14,R_3HFy0Kza4AIvh2q,,,,,37.55490112,-122.2707977,anonymous,EN,Yes,,,,,,,,,0,0,111.852,0,0,0,312.489,0,,,,,,,,,7.833,83.12,87.229,10,Somewhat agree,Strongly Agree,Strongly agree,Somewhat Agree,Somewhat agree,Strongly disagree,Somewhat disagree,3.251,71.789,73.36,10,55 years or older,Professional degree,Male,Yes,Yes,Strongly agree,"More than $150,000",Neither Conservative nor Liberal,Urban,1,9.88E+11,AntiTreatment,,
11/14/19 12:59,11/14/19 13:15,IP Address,148.87.23.6,100,967,TRUE,11/14/19 13:15,R_22FftXETYaTp7Xm,,,,,37.54969788,-121.9620972,anonymous,EN,Yes,,,,,,,,,,,,,,,,,0,0,180.922,0,0,0,486.551,0,13.546,159.683,162.665,7,Strongly agree,Strongly Agree,Strongly agree,Somewhat Disagree,Somewhat agree,Strongly disagree,Strongly agree,3.666,100.426,107.528,9,25-34 years,Professional degree,Female,Yes,No,Strongly agree,"$100,000 - $149,000",Neither Conservative nor Liberal,Suburban,1,2.72E+11,Placebo,,
11/14/19 12:59,11/14/19 13:16,IP Address,160.34.89.242,100,1058,TRUE,11/14/19 13:16,R_a5xaJmBHKcogiU9,,,,,41.84829712,-87.65170288,anonymous,EN,Yes,,,,,,,,,0,0,588.954,0,0,0,321.474,0,,,,,,,,,12.703,51.577,53.892,7,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly agree,Strongly disagree,Somewhat agree,3.418,42.853,45.519,9,35-44 years,4 year degree,Male,Yes,Yes,Strongly agree,"$100,000 - $149,000",Neither Conservative nor Liberal,Urban,1,4.80E+11,AntiTreatment,,
11/14/19 13:18,11/14/19 13:19,IP Address,148.87.23.4,100,14,TRUE,11/14/19 13:19,R_9FDcbsQfspvwwPT,,,,,37.5625,-122.0003967,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/19 13:11,11/14/19 13:23,IP Address,148.87.23.12,100,759,TRUE,11/14/19 13:23,R_2dQ3E7Dk0GGjEUq,,,,,37.5625,-122.0003967,anonymous,EN,Yes,34.92,139.82,318.125,10,154.961,154.961,303.056,1,,,,,,,,,,,,,,,,,14.68,78.082,79.846,7,Strongly agree,Somewhat Agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly disagree,Somewhat agree,2.644,42.429,45.004,9,45-54 years,Some college,Male,Yes,Yes,Strongly agree,"More than $150,000",Neither Conservative nor Liberal,Urban,1,3.74E+11,Treatment,,
11/14/19 13:17,11/14/19 13:34,IP Address,148.87.23.6,100,1026,TRUE,11/14/19 13:34,R_25FmViRDRFRSrEx,,,,,37.5625,-122.0003967,anonymous,EN,Yes,,,,,,,,,0,0,114.166,0,0,0,452.611,0,,,,,,,,,20.269,191.697,193.333,7,Strongly agree,Somewhat Agree,Somewhat agree,Strongly Disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,3.037,114.543,116.021,9,25-34 years,Professional degree,Female,Yes,No,Somewhat agree,"$100,000 - $149,000",Neither Conservative nor Liberal,Suburban,1,7.87E+11,AntiTreatment,,
11/14/19 13:30,11/14/19 13:40,IP Address,174.29.128.9,100,644,TRUE,11/14/19 13:40,R_2Y9Yqgm7fn2YxX7,,,,,39.76280212,-105.0262985,anonymous,EN,Yes,,,,,,,,,0,0,121.459,0,302.783,302.783,310.084,1,,,,,,,,,11.524,86.623,88.596,7,Somewhat agree,Neither Agree or Disagree,Neither agree nor disagree,Somewhat Disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,3.149,50.394,52.601,11,45-54 years,Some college,Other,No,No,Neither agree nor disagree,"More than $150,000",Neither Conservative nor Liberal,Rural,1,8.09E+11,AntiTreatment,,
11/14/19 13:30,11/14/19 13:41,IP Address,67.172.131.119,100,617,TRUE,11/14/19 13:41,R_qz29ajwWhQEJyRH,,,,,38.91290283,-104.7794037,anonymous,EN,Yes,1.303,233.573,235.132,4,3.066,276.397,277.438,2,,,,,,,,,,,,,,,,,3.751,38.455,40.301,8,Strongly disagree,Strongly Disagree,Strongly disagree,Strongly Disagree,Strongly disagree,Strongly agree,Strongly disagree,2.085,39.101,41.902,10,25-34 years,4 year degree,Male,Yes,Yes,Strongly disagree,"$75,000 - $99,000",Neither Conservative nor Liberal,Urban,1,6.47E+11,Treatment,,
11/14/19 13:38,11/14/19 13:49,IP Address,148.87.23.12,100,656,TRUE,11/14/19 13:49,R_20NIWiCGTVr8KpP,,,,,37.54969788,-121.9620972,anonymous,EN,Yes,,,,,,,,,,,,,,,,,5.051,158.951,160.064,3,254.828,254.828,259.83,1,4.848,80.438,82.138,10,Strongly agree,Strongly Agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly disagree,Strongly agree,3.452,60.621,63.242,11,55 years or older,4 year degree,Male,Yes,Yes,Strongly agree,"More than $150,000",Very Conservative,Suburban,1,6.54E+11,Placebo,,
11/14/19 13:44,11/14/19 13:54,IP Address,73.15.65.119,100,605,TRUE,11/14/19 13:54,R_33BFuuAyr1isIKQ,,,,,37.31770325,-122.0438004,anonymous,EN,Yes,,,,,,,,,0,0,110.298,0,0,0,303.336,0,,,,,,,,,22.47,90.24,92.318,7,Strongly agree,Somewhat Agree,Somewhat agree,Somewhat Disagree,Somewhat agree,Strongly disagree,Somewhat agree,2.546,57.953,59.346,10,45-54 years,Professional degree,Male,No,Yes,Strongly agree,"More than $150,000",Slightly Liberal,Urban,1,3.52E+11,AntiTreatment,,
11/14/19 13:36,11/14/19 14:04,IP Address,148.87.23.6,100,1681,TRUE,11/14/19 14:04,R_1LesXWBiGvXbfU3,,,,,37.5625,-122.0003967,anonymous,EN,Yes,0,0,876.977,0,0,0,494.464,0,,,,,,,,,,,,,,,,,5.602,131.835,138.023,7,Somewhat agree,Somewhat Agree,Somewhat agree,Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,2.388,45.269,46.69,9,25-34 years,Professional degree,Female,Yes,No,Strongly agree,"$100,000 - $149,000",Neither Conservative nor Liberal,Suburban,1,7.12E+11,Treatment,,
11/13/19 12:41,11/13/19 14:04,IP Address,148.87.23.6,72,4929,FALSE,11/14/19 14:04,R_1MYCdppYyqUZuLd,,,,,,,anonymous,EN,Yes,0,0,233.688,0,0,0,355.813,0,,,,,,,,,,,,,,,,,18.947,88.308,89.544,9,Strongly agree,Somewhat Disagree,Somewhat disagree,Somewhat Disagree,Somewhat disagree,Somewhat disagree,Strongly agree,,,,,,,,,,,,,,1,1.54E+11,Treatment,,
11/14/19 13:52,11/14/19 14:06,IP Address,148.87.23.8,100,860,TRUE,11/14/19 14:06,R_0TJ2E7TKVrX3O8N,,,,,37.5625,-122.0003967,anonymous,EN,Yes,,,,,,,,,,,,,,,,,0,0,170.898,0,0,0,323.207,0,18.623,108.475,110.385,7,Neither agree nor disagree,Somewhat Agree,Strongly agree,Somewhat Agree,Strongly agree,Strongly disagree,Strongly agree,4.546,100.385,101.609,9,35-44 years,Doctorate,Male,No,Yes,Strongly agree,"More than $150,000",Very Liberal,Suburban,1,1.82E+11,Placebo,,
11/14/19 13:40,11/14/19 14:09,IP Address,94.230.157.236,100,1710,TRUE,11/14/19 14:09,R_265RnGBZZGzY4TL,,,,,50.10510254,14.40159607,anonymous,EN,Yes,,,,,,,,,,,,,,,,,2.522,2.522,124.117,1,3.275,3.275,245.608,1,4.975,67.66,69.015,8,Strongly disagree,Strongly Disagree,Strongly disagree,Neither Agree or Disagree,Strongly disagree,Strongly agree,Strongly agree,4.256,69.01,70.581,9,35-44 years,Doctorate,Male,No,Yes,Strongly disagree,"$100,000 - $149,000",Slightly Conservative,Urban,1,1.28E+11,Placebo,,
11/14/19 14:14,11/14/19 14:23,IP Address,148.87.23.4,100,529,TRUE,11/14/19 14:23,R_2RWaRv9yvGXDn8g,,,,,37.5625,-122.0003967,anonymous,EN,Yes,,,,,,,,,,,,,,,,,0,0,128.242,0,0,0,242.282,0,10.64,89.551,90.757,7,Somewhat agree,Strongly Agree,Strongly agree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,2.989,48.339,51.092,10,35-44 years,4 year degree,Male,No,No,Strongly agree,"More than $150,000",Slightly Liberal,Urban,1,9.28E+11,Placebo,,
11/14/19 14:19,11/14/19 14:31,IP Address,160.34.124.100,100,758,TRUE,11/14/19 14:31,R_ahCAr7cEm86AgyB,,,,,39.0480957,-77.47280121,anonymous,EN,Yes,8.585,8.585,239.056,1,7.765,7.765,293.842,1,,,,,,,,,,,,,,,,,29.062,100.635,106.043,7,Strongly agree,Neither Agree or Disagree,Strongly agree,Somewhat Disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,4.677,78.967,81.362,9,35-44 years,Professional degree,Male,Yes,No,Neither agree nor disagree,"More than $150,000",Neither Conservative nor Liberal,Urban,1,6.54E+11,Treatment,,
11/14/19 14:34,11/14/19 14:45,IP Address,148.87.23.12,100,620,TRUE,11/14/19 14:45,R_3D0JSakGILfqX9P,,,,,37.5625,-122.0003967,anonymous,EN,Yes,,,,,,,,,30.763,32.107,146.188,3,4.431,4.431,315.011,1,,,,,,,,,12.845,65.981,68.546,7,Strongly agree,Strongly Agree,Strongly agree,Somewhat Agree,Strongly agree,Strongly disagree,Strongly disagree,2.167,47.911,49.901,9,55 years or older,4 year degree,Male,No,Yes,Strongly agree,"More than $150,000",Very Liberal,Suburban,1,5.53E+11,AntiTreatment,,
11/14/19 14:50,11/14/19 15:03,IP Address,148.87.23.8,100,774,TRUE,11/14/19 15:03,R_2zTJMWPgQOTfXKF,,,,,37.5625,-122.0003967,anonymous,EN,Yes,0,0,234.124,0,0,0,278.355,0,,,,,,,,,,,,,,,,,6.977,78.895,81.092,7,Strongly agree,Strongly Agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly disagree,Strongly agree,3.16,67.738,70.606,9,45-54 years,Professional degree,Male,No,Yes,Strongly agree,"$100,000 - $149,000",Slightly Liberal,Suburban,1,9.86E+11,Treatment,,
11/14/19 14:10,11/14/19 15:13,IP Address,209.17.40.42,100,3758,TRUE,11/14/19 15:13,R_238g06NeZSTWGxq,,,,,37.75100708,-97.8219986,anonymous,EN,Yes,,,,,,,,,4.107,4.107,3339.677,1,3.668,3.668,303.964,1,,,,,,,,,4.606,46.811,48.859,7,Somewhat agree,Neither Agree or Disagree,Somewhat agree,Neither Agree or Disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,2.56,43.16,45.478,9,45-54 years,4 year degree,Female,Yes,Yes,Neither agree nor disagree,"$100,000 - $149,000",Slightly Conservative,Rural,1,1.73E+11,AntiTreatment,,
11/14/19 15:31,11/14/19 15:43,IP Address,148.87.23.6,100,694,TRUE,11/14/19 15:43,R_8cZbh9vKAHNj2Kt,,,,,37.5625,-122.0003967,anonymous,EN,Yes,,,,,,,,,,,,,,,,,0,0,217.856,0,0,0,263.332,0,22.816,106.415,109.248,7,Strongly agree,Somewhat Agree,Somewhat agree,Strongly Disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,2.869,63.34,65.019,9,45-54 years,Professional degree,Male,No,Yes,Neither agree nor disagree,"$100,000 - $149,000",Neither Conservative nor Liberal,Urban,1,9.57E+11,Placebo,,
11/14/19 15:41,11/14/19 15:58,IP Address,76.176.144.131,100,1026,TRUE,11/14/19 15:58,R_3GClheIIVL8nKIm,,,,,32.85949707,-117.2124023,anonymous,EN,Yes,5.901,244.827,245.944,4,1.456,646.074,647.638,3,,,,,,,,,,,,,,,,,1.548,79.265,81.731,15,Strongly agree,Strongly Agree,Strongly agree,Somewhat Disagree,Strongly agree,Strongly disagree,Strongly agree,2.779,40.535,42.151,9,35-44 years,Professional degree,Male,Yes,Yes,Strongly agree,"More than $150,000",Slightly Liberal,Suburban,1,8.56E+11,Treatment,,
11/14/19 16:45,11/14/19 17:18,IP Address,128.149.8.70,100,2006,TRUE,11/14/19 17:18,R_324UWxC5Mm5GIIr,,,,,34.21879578,-118.1997986,anonymous,EN,Yes,4.471,15.875,228.789,4,15.316,263.659,266.494,16,,,,,,,,,,,,,,,,,5.699,37.243,39.256,8,Strongly agree,Somewhat Agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly disagree,Strongly agree,1.297,39.241,40.467,12,25-34 years,4 year degree,Male,Yes,Yes,Strongly agree,"More than $150,000",Very Liberal,Suburban,1,7.04E+11,Treatment,,
11/14/19 17:13,11/14/19 17:21,IP Address,107.0.240.2,100,514,TRUE,11/14/19 17:21,R_2wvkfADLKUU4xGP,,,,,39.85450745,-75.37729645,anonymous,EN,Yes,,,,,,,,,0,0,121.645,0,0,0,303.718,0,,,,,,,,,7.946,39.759,40.701,7,Somewhat agree,Somewhat Disagree,Somewhat agree,Neither Agree or Disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,1.79,35.353,37.136,9,45-54 years,Professional degree,Female,Yes,Yes,Somewhat agree,"More than $150,000",Slightly Liberal,Urban,1,4.79E+11,AntiTreatment,,
11/14/19 17:59,11/14/19 18:12,IP Address,141.143.213.38,100,793,TRUE,11/14/19 18:12,R_xFpOedCcqfJUXAd,,,,,51.50340271,-0.687698364,anonymous,EN,Yes,0,0,233.669,0,0,0,278.168,0,,,,,,,,,,,,,,,,,34.988,140.914,142.57,7,Somewhat agree,Neither Agree or Disagree,Somewhat agree,Somewhat Disagree,Somewhat agree,Strongly disagree,Somewhat agree,3.462,123.582,125.777,9,55 years or older,Professional degree,Male,No,Yes,Somewhat agree,"$50,000 - $74,000",Neither Conservative nor Liberal,Suburban,1,2.81E+11,Treatment,,
11/14/19 18:06,11/14/19 18:16,IP Address,98.207.104.222,100,646,TRUE,11/14/19 18:16,R_1pFPgepvM19Ii3B,,,,,37.3973999,-122.0009995,anonymous,EN,Yes,,,,,,,,,0,0,106.882,0,0,0,307.354,0,,,,,,,,,8.756,73.73,78.605,7,Somewhat agree,Somewhat Disagree,Somewhat agree,Somewhat Agree,Somewhat disagree,Somewhat agree,Somewhat agree,3.139,116.086,118.355,9,45-54 years,4 year degree,Male,No,No,Strongly agree,"More than $150,000",Slightly Liberal,Suburban,1,6.48E+11,AntiTreatment,,
11/14/19 18:26,11/14/19 18:34,IP Address,183.83.253.249,100,489,TRUE,11/14/19 18:34,R_C3SHg8FIKrX7Rcd,,,,,17.38459778,78.45739746,anonymous,EN,Yes,,,,,,,,,,,,,,,,,12.119,128.095,137.139,4,10.653,241.33,241.9,33,4.278,53.139,54.1,7,Strongly agree,Strongly Agree,Somewhat agree,Strongly Disagree,Somewhat agree,Strongly disagree,Strongly agree,3.148,42.727,43.641,10,45-54 years,Professional degree,Male,Yes,Yes,Strongly agree,"More than $150,000",Slightly Liberal,Urban,1,9.95E+11,Placebo,,
11/14/19 19:19,11/14/19 19:35,IP Address,75.159.229.49,100,906,TRUE,11/14/19 19:35,R_vqR3Ix9nWBusPG9,,,,,53.48800659,-113.4796982,anonymous,EN,Yes,57.075,404.805,518.057,6,10.418,73.048,279.567,2,,,,,,,,,,,,,,,,,4.75,41.486,43.277,7,Somewhat agree,Strongly Agree,Strongly agree,Somewhat Disagree,Strongly agree,Somewhat disagree,Strongly agree,1.881,47.865,49.651,9,35-44 years,Professional degree,Male,No,Yes,Strongly agree,"More than $150,000",Slightly Liberal,Urban,1,5.95E+11,Treatment,,
